iter	Passed	Remaining
0	60	60383
1	60	30336
2	61	20291
3	61	15267
4	61	12256
5	61	10255
6	62	8818
7	62	7740
8	62	6902
9	62	6235
10	63	5694
11	63	5235
12	63	4848
13	64	4517
14	64	4229
15	64	3979
16	65	3758
17	65	3561
18	65	3383
19	65	3223
20	66	3078
21	66	2946
22	66	2827
23	66	2716
24	67	2616
25	67	2525
26	67	2439
27	67	2358
28	68	2284
29	68	2215
30	68	2148
31	69	2088
32	69	2029
33	69	1976
34	69	1925
35	70	1879
36	70	1834
37	70	1791
38	71	1749
39	71	1709
40	71	1672
41	71	1636
42	72	1603
43	72	1570
44	72	1539
45	72	1509
46	73	1481
47	73	1455
48	73	1428
49	73	1403
50	74	1379
51	74	1355
52	74	1333
53	74	1312
54	75	1291
55	75	1271
56	75	1251
57	75	1232
58	76	1214
59	76	1197
60	76	1180
61	76	1164
62	77	1149
63	77	1133
64	77	1118
65	78	1105
66	78	1091
67	78	1075
68	78	1062
69	78	1049
70	79	1036
71	79	1025
72	79	1013
73	80	1001
74	80	990
75	81	988
76	81	978
77	81	968
78	82	957
79	82	947
80	82	938
81	82	929
82	83	919
83	83	910
84	83	900
85	83	892
86	84	882
87	84	873
88	84	865
89	84	857
90	85	849
91	85	841
92	85	834
93	85	827
94	86	819
95	86	812
96	86	805
97	86	799
98	87	792
99	87	786
100	87	779
101	87	771
102	87	765
103	88	759
104	88	753
105	88	748
106	88	742
107	89	736
108	89	730
109	89	725
110	89	719
111	90	714
112	90	709
113	90	704
114	90	699
115	91	694
116	91	690
117	91	685
118	91	680
119	92	675
120	92	671
121	92	666
122	92	661
123	92	656
124	93	652
125	93	648
126	93	644
127	93	639
128	94	635
129	94	631
130	94	627
131	94	623
132	95	619
133	95	615
134	95	612
135	95	608
136	96	605
137	96	601
138	96	597
139	97	599
140	97	595
141	98	592
142	98	589
143	98	586
144	98	583
145	99	579
146	99	576
147	99	573
148	99	570
149	100	567
150	100	564
151	100	561
152	100	558
153	101	555
154	101	553
155	101	550
156	101	547
157	102	544
158	102	541
159	102	538
160	102	535
161	103	533
162	103	530
163	103	528
164	103	525
165	104	523
166	104	520
167	104	518
168	104	515
169	105	513
170	105	511
171	105	508
172	105	506
173	106	504
174	106	502
175	106	500
176	107	498
177	107	495
178	107	493
179	107	491
180	108	489
181	108	487
182	108	484
183	108	482
184	109	480
185	109	478
186	109	476
187	109	474
188	110	472
189	110	471
190	110	469
191	111	467
192	111	465
193	111	463
194	111	461
195	112	459
196	112	457
197	112	456
198	112	454
199	113	452
200	113	450
201	113	448
202	113	447
203	114	445
204	114	443
205	114	442
206	115	440
207	115	439
208	115	437
209	115	435
210	116	434
211	116	432
212	116	431
213	116	429
214	117	427
215	117	426
216	117	424
217	117	423
218	118	421
219	118	420
220	118	418
221	119	417
222	119	415
223	119	414
224	119	412
225	120	411
226	120	409
227	121	410
228	121	409
229	121	408
230	122	406
231	122	405
232	122	404
233	122	402
234	123	401
235	123	399
236	123	398
237	124	397
238	124	395
239	124	394
240	124	392
241	125	391
242	125	390
243	125	389
244	125	387
245	126	386
246	126	385
247	126	384
248	127	383
249	127	381
250	127	380
251	127	379
252	128	378
253	128	376
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	129	369
260	130	368
261	130	367
262	130	366
263	131	365
264	131	364
265	131	363
266	131	361
267	132	360
268	132	359
269	132	358
270	132	357
271	133	356
272	133	355
273	133	354
274	133	353
275	134	352
276	134	350
277	134	349
278	134	348
279	135	347
280	135	346
281	135	345
282	136	344
283	136	343
284	136	342
285	136	341
286	137	340
287	137	339
288	137	339
289	138	338
290	138	337
291	138	336
292	138	335
293	139	334
294	139	333
295	139	332
296	139	331
297	140	330
298	140	329
299	140	328
300	140	327
301	141	326
302	141	325
303	141	324
304	142	323
305	142	322
306	142	322
307	142	321
308	143	320
309	143	319
310	143	318
311	143	317
312	144	316
313	144	315
314	144	314
315	144	313
316	145	313
317	145	312
318	145	311
319	146	310
320	146	309
321	146	308
322	146	307
