iter	Passed	Remaining
0	59	59695
1	60	29952
2	60	20033
3	60	15079
4	60	12098
5	61	10115
6	61	8696
7	61	7634
8	61	6804
9	62	6142
10	62	5600
11	62	5150
12	62	4772
13	63	4450
14	63	4167
15	63	3919
16	63	3699
17	64	3508
18	64	3332
19	64	3176
20	65	3034
21	65	2907
22	65	2788
23	65	2679
24	66	2579
25	66	2486
26	66	2400
27	66	2319
28	67	2245
29	67	2176
30	67	2111
31	67	2050
32	68	1993
33	68	1939
34	68	1888
35	68	1841
36	69	1796
37	69	1754
38	69	1713
39	69	1674
40	70	1637
41	70	1602
42	70	1570
43	70	1539
44	71	1508
45	71	1479
46	71	1452
47	71	1426
48	72	1400
49	72	1375
50	72	1351
51	72	1328
52	73	1306
53	73	1285
54	73	1264
55	73	1244
56	74	1225
57	74	1207
58	74	1189
59	74	1171
60	75	1155
61	75	1138
62	75	1123
63	75	1107
64	76	1093
65	76	1079
66	76	1065
67	76	1051
68	76	1038
69	77	1026
70	77	1015
71	77	1002
72	78	990
73	78	979
74	78	968
75	78	957
76	79	947
77	79	936
78	79	926
79	79	918
80	80	909
81	80	901
82	80	890
83	80	883
84	81	874
85	81	866
86	81	858
87	82	850
88	82	842
89	82	835
90	82	827
91	83	819
92	83	812
93	83	805
94	83	799
95	84	792
96	84	784
97	84	778
98	84	771
99	84	764
100	85	758
101	85	752
102	85	745
103	85	739
104	86	734
105	86	728
106	86	722
107	86	716
108	87	711
109	87	705
110	87	700
111	87	695
112	87	690
113	88	685
114	88	679
115	88	674
116	88	669
117	88	664
118	89	660
119	89	655
120	89	651
121	89	646
122	90	641
123	90	637
124	90	633
125	90	629
126	90	624
127	91	620
128	91	617
129	91	613
130	91	609
131	92	605
132	92	602
133	92	599
134	92	595
135	93	592
136	93	588
137	93	585
138	93	581
139	94	578
140	94	575
141	94	571
142	94	568
143	95	565
144	95	562
145	95	559
146	95	556
147	96	553
148	96	550
149	96	548
150	96	545
151	97	542
152	97	539
153	97	536
154	97	533
155	98	531
156	98	528
157	98	525
158	98	523
159	99	520
160	99	517
161	99	515
162	99	512
163	100	510
164	100	507
165	100	505
166	100	502
167	101	500
168	101	498
169	101	495
170	101	493
171	102	491
172	102	489
173	102	487
174	102	484
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	472
181	104	470
182	104	468
183	105	466
184	105	464
185	105	462
186	105	460
187	106	458
188	106	456
189	106	454
190	106	452
191	107	450
192	107	448
193	107	446
194	107	445
195	108	443
196	108	441
197	108	439
198	108	437
199	109	436
200	109	434
201	109	432
202	109	430
203	110	429
204	110	427
205	110	425
206	110	424
207	110	422
208	111	420
209	111	419
210	111	417
211	111	416
212	112	414
213	112	413
214	112	411
215	112	409
216	113	408
217	113	406
218	113	405
219	113	403
220	114	402
221	114	400
222	114	399
223	114	397
224	115	396
225	115	395
226	115	393
227	115	392
228	116	390
229	116	389
230	116	388
231	116	386
232	117	385
233	117	383
234	117	382
235	117	381
236	117	379
237	118	378
238	118	377
239	118	375
240	118	374
241	119	373
242	119	372
243	119	370
244	119	369
245	120	368
246	120	367
247	120	365
248	120	364
249	121	363
250	121	362
251	121	360
252	121	359
253	122	358
254	122	357
255	122	356
256	122	355
257	123	354
258	123	353
259	123	351
260	123	350
261	124	349
262	124	348
263	124	347
264	124	346
265	125	345
266	125	344
267	125	343
268	125	341
269	126	340
270	126	339
271	126	338
272	126	337
273	127	336
274	127	335
275	127	334
276	127	333
277	127	332
278	128	331
279	128	330
280	128	329
281	128	328
282	129	327
283	129	326
284	129	325
285	129	324
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	132	315
295	132	314
296	132	313
297	132	312
298	132	311
299	133	310
300	133	309
301	133	308
302	133	308
303	134	307
304	134	306
305	134	305
306	134	304
307	135	303
308	135	302
309	135	301
310	135	300
311	135	299
312	136	298
313	136	298
314	136	297
315	136	296
316	137	295
317	137	294
318	137	293
319	137	293
320	138	292
321	138	291
322	138	290
323	138	289
324	139	288
325	139	287
326	139	287
327	139	286
328	139	285
329	140	284
330	140	283
331	140	283
332	140	282
333	141	281
334	141	280
335	141	279
336	141	279
337	142	278
338	142	277
339	142	276
340	142	276
341	143	275
342	143	274
343	143	273
344	143	273
345	144	272
346	144	271
347	144	270
348	144	270
349	144	269
350	145	268
351	145	267
352	145	267
353	145	266
354	146	265
355	146	264
356	146	264
357	146	263
358	147	262
359	147	261
360	147	261
361	147	260
362	148	259
363	148	259
364	148	258
365	148	257
366	149	257
367	149	256
368	149	255
369	149	254
370	149	254
371	150	253
372	150	252
373	150	252
374	150	251
375	151	250
376	151	250
377	151	249
378	151	248
379	152	248
380	152	247
381	152	246
382	152	246
383	153	245
384	153	245
385	153	244
386	153	243
387	154	243
388	154	242
389	154	241
390	154	241
391	155	240
392	155	239
393	155	239
394	155	238
395	156	238
396	156	237
397	156	236
398	156	236
399	157	235
400	157	235
401	157	234
402	157	233
403	158	233
404	158	232
405	158	232
406	158	231
407	159	230
408	159	230
409	159	229
410	159	229
411	160	228
412	160	227
413	160	227
414	160	226
415	160	226
416	161	225
417	161	224
418	161	224
419	161	223
420	162	223
421	162	222
422	162	222
423	163	221
424	163	220
425	163	220
426	163	219
427	164	219
428	164	218
429	164	218
430	164	217
431	165	217
432	165	216
433	165	215
434	165	215
435	166	214
436	166	214
437	166	213
438	166	213
439	167	212
440	167	212
441	167	211
442	167	210
443	168	210
444	168	209
445	168	209
446	168	208
447	169	208
448	169	207
449	169	207
450	169	206
451	170	206
452	170	205
453	170	205
454	170	204
455	171	204
456	171	203
457	171	203
458	171	202
459	172	202
460	172	201
461	172	201
462	173	200
463	173	200
464	173	199
465	173	199
466	174	198
467	174	198
468	174	197
469	174	197
470	174	196
471	175	196
472	175	195
473	175	195
474	176	194
475	176	194
476	176	193
477	176	193
478	177	192
479	177	192
480	177	191
481	177	191
482	177	190
483	178	190
484	178	189
485	178	189
486	178	188
487	179	188
488	179	187
489	179	187
490	179	186
491	180	186
492	180	185
493	180	185
494	181	184
495	181	184
496	181	183
497	181	183
498	182	182
499	182	182
500	182	181
501	182	181
502	183	180
503	183	180
504	183	180
505	183	179
506	184	179
507	184	178
508	184	178
509	185	177
510	185	177
511	185	176
512	185	176
513	186	175
514	186	175
515	186	175
516	186	174
517	187	174
518	187	173
519	187	173
520	187	172
521	188	172
522	188	171
523	188	171
524	188	170
525	189	170
526	189	170
527	189	169
528	189	169
529	190	168
530	190	168
531	190	167
532	190	167
533	191	166
534	191	166
535	191	165
536	191	165
537	192	165
538	192	164
539	192	164
540	193	163
541	193	163
542	193	162
543	193	162
544	194	162
545	194	161
546	194	161
547	194	160
548	195	160
549	195	159
550	195	159
551	195	158
552	196	158
553	196	158
554	196	157
555	196	157
556	197	156
557	197	156
558	198	156
559	198	156
560	198	155
561	199	155
562	199	154
563	199	154
564	199	153
565	200	153
566	200	153
567	200	152
568	201	152
569	201	151
570	201	151
571	201	151
572	202	150
573	202	150
574	202	149
575	203	149
576	203	149
577	203	148
578	203	148
579	204	147
580	204	147
581	204	147
582	205	146
583	205	146
584	205	145
585	205	145
586	206	145
587	206	144
588	206	144
589	206	143
590	207	143
591	207	143
592	207	142
593	208	142
594	208	141
595	208	141
596	208	140
597	209	140
598	209	140
599	209	139
600	209	139
601	210	138
602	210	138
603	210	138
604	210	137
605	211	137
606	211	136
607	211	136
608	211	135
609	212	135
610	212	135
611	212	134
612	212	134
613	212	133
614	213	133
615	213	133
616	213	132
617	214	132
618	214	131
619	214	131
620	214	131
621	215	130
622	215	130
623	215	129
624	215	129
625	216	129
